PartitionKey,RowKey,Timestamp,Idle,Idle@type,TenantId,TenantId@type,Usable,Usable@type
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9dab-3eee-6f8ded7cd729,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9f41-3eee-6f8ded7cd72a,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a078-3eee-6f8ded7cd72b,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a1ac-3eee-6f8ded7cd72c,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a345-3eee-6f8ded7cd72d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a4d5-9de5-6f8ded7cd62d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a6e2-9de5-6f8ded7cd62e,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a7fb-9de5-6f8ded7cd62f,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a90b-9de5-6f8ded7cd630,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-ab47-3eee-6f8ded7cd72f,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-ac75-3eee-6f8ded7cd730,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-add1-3eee-6f8ded7cd731,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-af41-3eee-6f8ded7cd732,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b074-3eee-6f8ded7cd733,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b18a-3eee-6f8ded7cd734,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b40f-3eee-6f8ded7cd735,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b554-3eee-6f8ded7cd737,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b674-3eee-6f8ded7cd738,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b7aa-3eee-6f8ded7cd739,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-b942-3eee-6f8ded7cd73a,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-bb42-3eee-6f8ded7cd73b,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-bc78-3eee-6f8ded7cd73c,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-be79-3eee-6f8ded7cd73d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-bf7f-3eee-6f8ded7cd73e,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c0db-3eee-6f8ded7cd73f,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c279-3eee-6f8ded7cd740,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c3a6-3eee-6f8ded7cd741,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c4db-3eee-6f8ded7cd742,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c614-3eee-6f8ded7cd743,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c7a8-3eee-6f8ded7cd744,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-c946-3eee-6f8ded7cd745,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
